Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5 ec6 ec7 stereo
1 5 122 1 1 4 IFO 15.48 1.89 0 1 2 25 12 0 0 0 0 0 2
1 5 123 3 1 3 CC 7.42 1.35 1 2 2 76 38 0 0 0 0 0 2
1 5 124 2 1 1 CST 8.82 1.51 1 2 2 47 24 0 0 0 0 0 2
1 5 125 4 1 5 ILF 14.56 2.36 0 2 1 16 8 0 0 0 0 0 2
1 5 126 5 1 2 CG 6.99 2.78 1 1 1 4 2 0 0 0 0 0 2
1 5 127 1 1 1 CST 6.47 1.86 0 2 1 61 31 0 0 0 0 0 2
1 5 128 3 1 3 CC 8.83 1.93 1 2 2 47 24 0 0 0 0 0 2
1 5 129 2 1 5 ILF 15.22 1.00 1 1 1 31 14 0 0 0 0 0 2
1 5 130 4 1 4 IFO 7.74 2.05 1 2 2 13 5 0 0 0 0 0 2
1 5 131 5 3 2 CG 8.66 3.42 1 1 1 5 2 0 0 0 0 0 2
1 5 132 1 3 4 IFO 2.81 2.81 1 2 2 25 12 0 0 0 0 0 2
1 5 133 3 3 5 ILF 2.59 1.10 1 2 2 25 12 0 0 0 0 0 2
1 5 134 2 3 1 CST 2.74 2.72 1 2 2 52 26 0 0 0 0 0 2
1 5 135 4 3 3 CC 5.71 2.14 1 1 1 10 5 0 0 0 0 0 2
1 5 136 5 3 4 IFO 5.08 0.97 1 1 1 8 3 0 0 0 0 0 2
1 5 137 1 3 1 CST 6.40 2.17 1 1 1 62 31 0 0 0 0 0 2
1 5 138 3 3 5 ILF 3.52 1.20 1 2 2 25 12 0 0 0 0 0 2
1 5 139 2 3 2 CG 4.03 1.66 1 1 1 10 5 0 0 0 0 0 2
1 5 140 4 3 3 CC 2.25 2.14 1 2 2 20 10 0 0 0 0 0 2
1 5 141 5 2 3 CC 4.84 2.25 1 1 1 19 10 0 0 0 0 0 2
1 5 142 1 2 5 ILF 8.11 1.30 1 2 2 39 19 0 0 0 0 0 2
1 5 143 3 2 1 CST 6.32 1.26 1 2 2 33 17 0 0 0 0 0 2
1 5 144 2 2 4 IFO 11.66 1.25 1 2 2 23 10 0 0 0 0 0 2
1 5 145 4 2 2 CG 2.65 2.18 1 1 1 11 5 0 0 0 0 0 2
1 5 146 5 2 5 ILF 5.39 2.16 1 1 1 14 6 0 0 0 0 0 2
1 5 147 1 2 4 IFO 8.39 1.98 1 1 1 22 10 0 0 0 0 0 2
1 5 148 3 2 1 CST 8.28 1.24 0 1 2 38 19 0 0 0 0 0 2
1 5 149 2 2 3 CC 4.77 1.26 1 1 1 70 35 0 0 0 0 0 2
1 5 150 4 2 2 CG 12.03 1.22 1 2 2 6 3 0 0 0 0 0 2
1 6 151 5 1 5 ILF 25.20 2.18 0 1 2 5 3 0 0 0 0 0 2
1 6 152 1 1 3 CC 9.05 1.41 0 1 2 1 2 0 0 0 0 0 2
1 6 153 3 1 4 IFO 5.49 1.80 1 1 1 3 3 0 0 0 0 0 2
1 6 154 2 1 1 CST 5.98 2.11 0 1 2 2 4 0 0 0 0 0 2
1 6 155 4 1 2 CG 12.18 1.83 1 2 2 4 2 0 0 0 0 0 2
1 6 156 5 1 3 CC 11.68 1.25 1 2 2 5 4 0 0 0 0 0 2
1 6 157 1 1 5 ILF 10.26 1.27 1 2 2 1 3 0 0 0 0 0 2
1 6 158 3 1 1 CST 7.02 7.02 1 2 2 3 1 0 0 0 0 0 2
1 6 159 2 1 4 IFO 8.88 2.65 1 2 2 2 1 0 0 0 0 0 2
1 6 160 4 1 2 CG 4.13 4.13 1 2 2 4 2 0 0 0 0 0 2
1 6 161 5 3 5 ILF 3.38 3.13 1 2 2 5 2 0 0 0 0 0 2
1 6 162 1 3 3 CC 12.73 1.56 1 1 1 1 1 0 0 0 0 0 2
1 6 163 3 3 4 IFO 9.22 1.55 0 1 2 3 1 0 0 0 0 0 2
1 6 164 2 3 2 CG 15.44 1.63 0 1 2 2 1 0 0 0 0 0 2
1 6 165 4 3 1 CST 6.91 1.30 1 2 2 4 1 0 0 0 0 0 2
1 6 166 5 3 2 CG 5.71 1.52 1 2 2 5 2 0 0 0 0 0 2
1 6 167 1 3 3 CC 9.13 2.01 0 1 2 1 3 0 0 0 0 0 2
1 6 168 3 3 4 IFO 10.69 1.74 0 1 2 3 2 0 0 0 0 0 2
1 6 169 2 3 1 CST 5.11 1.95 1 2 2 2 4 0 0 0 0 0 2
1 6 170 4 3 5 ILF 7.92 2.46 0 1 2 4 5 0 0 0 0 0 2
1 6 171 5 2 5 ILF 7.15 2.81 1 2 2 5 3 0 0 0 0 0 2
1 6 172 1 2 4 IFO 5.14 1.50 0 1 2 1 2 0 0 0 0 0 2
1 6 173 3 2 3 CC 9.70 2.93 1 2 2 3 5 0 0 0 0 0 2
1 6 174 2 2 2 CG 6.65 2.25 1 2 2 2 3 0 0 0 0 0 2
1 6 175 4 2 1 CST 7.72 4.77 0 1 2 4 5 0 0 0 0 0 2
1 6 176 5 2 2 CG 6.67 4.07 1 2 2 5 3 0 0 0 0 0 2
1 6 177 1 2 5 ILF 4.96 1.91 1 2 2 1 5 0 0 0 0 0 2
1 6 178 3 2 1 CST 11.19 4.71 0 1 2 3 1 0 0 0 0 0 2
1 6 179 2 2 4 IFO 7.37 2.72 1 1 1 2 2 0 0 0 0 0 2
1 6 180 4 2 3 CC 6.90 1.84 1 2 2 4 1 0 0 0 0 0 2
2 1 1 4 1 5 ILF 22.46 4.03 1 2 2 0.135138 0.382347 39 0.247209 69 0.017320 0.005977 2
2 1 2 3 1 3 CC 11.43 1.78 1 3 3 0.064932 0.337284 68 0.402217 101 0.014653 0.025497 2
2 1 3 5 1 2 CG 18.66 1.49 1 3 3 0.017950 0.180891 7 0.198840 16 0.002891 0.005034 2
2 1 4 1 1 1 CST 21.09 1.56 1 3 3 0.023199 0.190485 189 0.213683 441 0.004723 0.004579 2
2 1 5 2 1 4 IFO 20.95 1.21 1 3 3 0.094432 0.205555 88 0.299987 93 0.004197 0.009539 2
2 1 6 4 1 5 ILF 8.60 1.10 1 2 2 0.126348 0.385617 30 0.259270 43 0.016330 0.002925 2
2 1 7 3 1 3 CC 12.78 2.52 1 2 2 0.169901 0.347839 66 0.177938 35 0.009577 0.003677 2
2 1 8 5 1 4 IFO 6.09 1.26 1 3 3 0.074520 0.241066 20 0.315585 34 0.007228 0.009236 2
2 1 9 1 1 2 CG 11.27 1.14 1 2 2 0.056719 0.247650 155 0.190931 105 0.011519 0.004733 2
2 1 10 2 1 1 CST 23.88 1.38 1 2 2 0.101418 0.259539 90 0.158121 16 0.007815 0.003921 2
2 1 11 4 3 1 CST 11.22 1.60 1 3 3 0.021545 0.168402 5 0.189947 17 0.002612 0.002291 2
2 1 12 3 3 5 ILF 3.91 1.02 1 2 2 0.196849 0.489367 21 0.292518 25 0.010861 0.003025 2
2 1 13 5 3 4 IFO 15.00 1.64 1 3 3 0.069352 0.221805 14 0.291157 7 0.003813 0.005861 2
2 1 14 1 3 2 CG 5.00 1.49 0 2 3 0.013941 0.221219 19 0.235160 6 0.005407 0.005024 2
2 1 15 2 3 3 CC 4.55 0.96 1 3 3 0.020564 0.349781 74 0.370345 118 0.012386 0.023785 2
2 1 16 4 3 2 CG 4.02 1.18 1 2 2 0.160786 0.286801 2 0.126015 1 0.004157 0.000450 2
2 1 17 3 3 5 ILF 4.56 0.83 1 2 2 0.206989 0.481930 14 0.274942 25 0.014262 0.000881 2
2 1 18 5 3 1 CST 4.84 1.36 0 3 2 0.054925 0.328146 8 0.273221 11 0.004657 0.024686 2
2 1 19 1 3 4 IFO 6.71 1.33 1 3 3 0.025840 0.247772 25 0.273612 17 0.007033 0.007307 2
2 1 20 2 3 3 CC 7.79 1.29 1 2 2 0.199576 0.382308 67 0.182732 43 0.008263 0.004337 2
2 1 21 4 2 2 CG 19.49 1.18 1 2 2 0.013731 0.226572 33 0.212841 36 0.007926 0.005011 2
2 1 22 3 2 4 IFO 4.84 1.35 1 3 3 0.113814 0.205176 64 0.318990 60 0.004429 0.009749 2
2 1 23 5 2 5 ILF 3.93 0.70 1 2 2 0.124534 0.380473 32 0.255939 41 0.019284 0.006193 2
2 1 24 1 2 1 CST 8.55 1.01 0 2 3 0.041798 0.198220 178 0.240018 42 0.004948 0.004738 2
2 1 25 2 2 3 CC 7.05 1.11 1 3 3 0.075257 0.320379 95 0.395636 148 0.016376 0.025060 2
2 1 26 4 2 4 IFO 6.65 1.31 1 3 3 0.124771 0.210484 46 0.335255 47 0.006750 0.011909 2
2 1 27 3 2 5 ILF 10.94 1.06 1 2 2 0.121723 0.377593 52 0.255870 64 0.019643 0.002371 2
2 1 28 5 2 2 CG 8.42 1.33 1 2 2 0.036410 0.237712 27 0.201303 20 0.007843 0.006923 2
2 1 29 1 2 3 CC 14.31 1.56 1 2 2 0.174710 0.347192 147 0.172482 79 0.008434 0.002858 2
2 1 30 2 2 1 CST 8.87 1.16 1 2 2 0.219809 0.383059 6 0.163250 12 0.002479 0.004767 2
2 2 31 4 1 4 IFO 39.32 1.17 0 3 2 12 0 0 0 0 0 0 2
2 2 32 3 1 1 CST 31.79 2.57 1 3 3 22 0 0 0 0 0 0 2
2 2 33 5 1 2 CG 20.24 1.84 1 2 2 3 0 0 0 0 0 0 2
2 2 34 1 1 3 CC 55.52 1.55 1 3 3 22 0 0 0 0 0 0 2
2 2 35 2 1 5 ILF 13.97 0.84 1 2 2 15 0 0 0 0 0 0 2
2 2 36 4 1 3 CC 19.01 1.12 1 3 3 12 0 0 0 0 0 0 2
2 2 37 3 1 2 CG 8.95 1.07 0 3 2 8 0 0 0 0 0 0 2
2 2 38 5 1 5 ILF 50.26 1.22 0 1 3 9 0 0 0 0 0 0 2
2 2 39 1 1 1 CST 53.68 1.61 0 3 2 62 0 0 0 0 0 0 2
2 2 40 2 1 4 IFO 5.11 0.75 0 3 2 11 0 0 0 0 0 0 2
2 2 41 4 3 5 ILF 10.08 1.26 1 2 2 8 0 0 0 0 0 0 2
2 2 42 3 3 2 CG 10.40 1.63 1 2 2 6 0 0 0 0 0 0 2
2 2 43 5 3 4 IFO 8.33 1.16 1 3 3 7 0 0 0 0 0 0 2
2 2 44 1 3 3 CC 19.76 1.07 0 1 3 22 0 0 0 0 0 0 2
2 2 45 2 3 1 CST 7.15 1.51 1 2 2 44 0 0 0 0 0 0 2
2 2 46 4 3 5 ILF 9.08 0.70 1 2 2 10 0 0 0 0 0 0 2
2 2 47 3 3 3 CC 12.70 1.61 1 1 1 15 0 0 0 0 0 0 2
