Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5
2 3 65 2 1 5 ILF 24.06 0.97 1 5 5 26 0 0 0 0
2 3 66 4 1 2 CG 4.65 1.56 1 2 2 9 0 0 0 0
2 3 67 3 1 5 ILF 8.94 1.08 1 5 5 27 0 0 0 0
2 3 68 5 1 1 CST 5.02 1.16 1 1 1 21 0 0 0 0
2 3 69 1 1 4 IFO 9.06 3.93 1 4 4 34 0 0 0 0
2 3 70 2 1 3 CC 3.40 1.14 1 3 3 243 0 0 0 0
2 3 71 4 3 5 ILF 5.83 2.38 1 5 5 14 0 0 0 0
2 3 72 3 3 1 CST 4.24 1.82 1 1 1 91 0 0 0 0
2 3 73 5 3 3 CC 2.81 0.87 1 3 3 19 0 0 0 0
2 3 74 1 3 2 CG 7.66 1.14 1 2 2 35 0 0 0 0
2 3 75 2 3 4 IFO 4.36 1.75 1 4 4 27 0 0 0 0
2 3 76 4 3 3 CC 2.64 1.18 1 3 3 124 0 0 0 0
2 3 77 3 3 5 ILF 4.70 1.32 1 5 5 27 0 0 0 0
2 3 78 5 3 4 IFO 6.95 1.17 1 4 4 11 0 0 0 0
2 3 79 1 3 2 CG 3.42 1.36 1 2 2 44 0 0 0 0
2 3 80 2 3 1 CST 2.74 1.02 1 1 1 88 0 0 0 0
2 3 81 4 2 1 CST 4.63 1.30 1 1 1 57 0 0 0 0
2 3 82 3 2 5 ILF 12.70 0.81 1 5 5 23 0 0 0 0
2 3 83 5 2 4 IFO 13.59 1.81 1 4 4 10 0 0 0 0
2 3 84 1 2 2 CG 2.45 1.16 1 2 2 35 0 0 0 0
2 3 85 2 2 3 CC 5.31 1.38 1 3 3 46 0 0 0 0
2 3 86 4 2 3 CC 2.39 2.35 1 3 3 125 0 0 0 0
2 3 87 3 2 5 ILF 14.78 1.59 1 5 5 27 0 0 0 0
2 3 88 5 2 1 CST 3.28 1.42 1 1 1 21 0 0 0 0
2 3 89 1 2 4 IFO 35.69 0.71 1 4 4 34 0 0 0 0
2 3 90 2 2 2 CG 2.31 1.06 1 2 2 33 0 0 0 0
2 4 91 4 1 4 IFO 20.46 1.31 0 0 1 352.929078 29.424623 24 0 0
2 4 92 3 1 5 ILF 21.33 0.45 0 0 1 578.191499 31.030435 73 0 0
2 4 93 5 1 1 CST 34.41 0.39 1 1 1 75.914808 17.130037 29 0 0
2 4 94 1 1 3 CC 75.60 2.21 0 0 1 365.330849 25.548270 179 0 0
2 4 95 2 1 2 CG 35.16 0.44 0 0 1 164.957551 15.378211 73 0 0
2 4 96 4 1 2 CG 29.95 0.83 0 0 1 238.67997 12.858325 22 0 0
2 4 97 3 1 4 IFO 8.66 0.54 0 0 1 145.758802 28.643363 58 0 0
2 4 98 5 1 1 CST 9.04 0.99 1 1 1 97.887515 25.123905 53 0 0
2 4 99 1 1 5 ILF 13.34 0.45 0 0 1 414.140926 33.082050 315 0 0
2 4 100 2 1 3 CC 19.45 0.58 0 0 1 71.149368 22.274492 67 0 0
2 4 101 4 3 5 ILF 4.58 1.25 1 1 1 82.113058 31.030433 12 0 0
2 4 102 3 3 4 IFO 4.25 1.19 0 0 1 61.895776 29.424623 13 0 0
2 4 103 5 3 2 CG 3.06 1.04 0 0 1 83.928336 15.378211 4 0 0
2 4 104 1 3 3 CC 17.93 1.32 0 0 1 544.5389 25.548269 25 0 0
2 4 105 2 3 1 CST 4.25 0.28 0 0 1 79.887034 17.130037 50 0 0
2 4 106 4 3 3 CC 6.91 1.03 1 1 1 94.07129 22.274493 27 0 0
2 4 107 3 3 1 CST 7.68 1.14 1 1 1 64.22756 25.123905 74 0 0
2 4 108 5 3 5 ILF 2.26 0.73 1 1 1 77.572134 33.082050 12 0 0
2 4 109 1 3 4 IFO 3.24 0.55 1 1 1 85.112798 28.643363 49 0 0
2 4 110 2 3 2 CG 4.04 0.56 0 0 1 67.600621 12.858325 11 0 0
2 4 111 4 2 3 CC 15.52 0.91 0 0 1 101.765675 25.548268 43 0 0
2 4 112 3 2 2 CG 13.97 0.84 0 0 1 261.145911 15.378211 19 0 0
2 4 113 5 2 1 CST 9.29 0.36 0 0 1 89.985563 17.130037 23 0 0
2 4 114 1 2 5 ILF 21.69 1.47 1 1 1 119.222182 31.030435 71 0 0
2 4 115 2 2 4 IFO 5.39 0.30 1 1 1 52.253033 29.424623 48 0 0
2 4 116 4 2 3 CC 39.85 0.81 0 0 1 368.812466 22.274493 27 0 0
2 4 117 3 2 5 ILF 6.25 1.32 0 0 1 70.830345 33.082050 52 0 0
2 4 118 5 2 4 IFO 9.71 0.57 0 0 1 77.21949 28.643363 26 0 0
2 4 119 1 2 1 CST 34.14 1.08 0 0 1 413.258411 25.123904 408 0 0
2 4 120 2 2 2 CG 28.64 1.11 0 0 1 101.297743 12.858325 31 0 0
2 5 121 4 1 4 IFO 6.94 1.63 1 1 1 13 5 0 0 0
2 5 122 3 1 1 CST 7.39 0.96 1 1 1 26 13 0 0 0
2 5 123 5 1 3 CC 8.68 1.56 1 2 2 19 10 0 0 0
2 5 124 1 1 5 ILF 15.42 1.52 1 1 1 39 19 0 0 0
2 5 125 2 1 2 CG 6.81 1.16 1 1 1 26 13 0 0 0
2 5 126 4 1 5 ILF 5.42 1.02 1 2 2 18 9 0 0 0
2 5 127 3 1 1 CST 7.79 1.00 1 2 2 38 19 0 0 0
2 5 128 5 1 4 IFO 5.50 1.29 1 2 2 8 3 0 0 0
2 5 129 1 1 3 CC 8.38 1.13 1 1 1 86 43 0 0 0
2 5 130 2 1 2 CG 6.49 1.44 1 1 1 10 5 0 0 0
2 5 131 4 3 4 IFO 3.76 0.93 1 1 1 13 6 0 0 0
2 5 132 3 3 1 CST 3.76 1.71 1 1 1 31 16 0 0 0
2 5 133 5 3 3 CC 3.09 1.26 1 2 2 6 3 0 0 0
2 5 134 1 3 2 CG 2.61 2.61 1 1 1 26 13 0 0 0
